Apartment Name,Apartment Type,Available Room,Price,,,Lower Bound,Upper Bound,Price Mean in $,Area,Area in sqft Cleaned,#Beds,#Beds Cleaned,#Baths,#Baths Cleaned,Availability,Ratings,Ratings in starts
Water Street Apartments,Hamilton,NA,"$1,145 ",1145,1145,1145,1145,1145,876+ sqft,876,1 Bed,1,1 Bath,1 ,Contact,100,5
Water Street Apartments,Fisher,NA,"$1,280–$1,389","1,280–1,389","1,280–1,389","1,280","1,389",1334.5,950+ sqft,950,1 Bed,1,1 Bath,1 ,Contact,100,5
Water Street Apartments,Schmidt,NA,"$1,295 ",1295,1295,1295,1295,1295,923+ sqft,923,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Stanton,NA,"$1,315 ",1315,1315,1315,1315,1315,952+ sqft,952,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Milton,NA,"$1,574–$1,674","1,574–1,674","1,574–1,674","1,574","1,674",1624,1011+ sqft,1011,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Parson,NA,"$1,500 ",1500,1500,1500,1500,1500,1040+ sqft,1040,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Sherman,NA,"$1,350–$1,374","1,350–1,374","1,350–1,374","1,350","1,374",1362,1052+ sqft,1052,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Patterson,NA,"$1,475–$1,590","1,475–1,590","1,475–1,590","1,475","1,590",1532.5,1156+ sqft,1156,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Sinclair,NA,"$1,545–$1,674","1,545–1,674","1,545–1,674","1,545","1,674",1609.5,1165+ sqft,1165,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Webster,NA,"$1,740–$1,840","1,740–1,840","1,740–1,840","1,740","1,840",1790,1200+ sqft,1200,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Woodward I,NA,"$1,874–$1,950","1,874–1,950","1,874–1,950","1,874","1,950",1912,1242+ sqft,1242,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Wright,NA,"$1,825 ",1825,1825,1825,1825,1825,1271+ sqft,1271,2 Beds,2,2 Bath,2 ,Contact,100,5
Water Street Apartments,Woodward II,NA,"$1,874 ",1874,1874,1874,1874,1874,1305+ sqft,1305,2 Beds,2,2 Bath,2 ,Contact,100,5
Oakwood Apartments,Apartment,NA,$745–$765,745–765,745–765,745,765,755,1000+ sqft,1000,2 Beds,2,2 Bath,2 ,3 Available,60%,3
The Voyageur Apartments,One Bedroom,1755A,$664 ,664,664,664,664,664,700 sqft,700,1 Bed,1,1 Bath,1 ,Today,NA,NA
